상품군별(1),2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,2023,2023.1,2023.2
합계,3636049,664347,22.4,4067719,431670,11.9,5115211,1047492,25.8,5323978,208767,4.1,6756733,1432755,26.9
컴퓨터 및 주변기기,50136,-3452,-6.4,52136,2000,4.0,65502,13366,25.6,88573,23071,35.2,138304,49731,56.1
가전·전자·통신기기,463017,11646,2.6,338031,-124986,-27.0,363035,25004,7.4,296493,-66542,-18.3,424264,127771,43.1
소프트웨어,12892,1654,14.7,15106,2214,17.2,20402,5296,35.1,12724,-7678,-37.6,17555,4831,38.0
서 적,22375,1030,4.8,29031,6656,29.7,44174,15143,52.2,40448,-3726,-8.4,43218,2770,6.8
사무·문구,16291,4341,36.3,17450,1159,7.1,26462,9012,51.6,28782,2320,8.8,45060,16278,56.6
음반·비디오·악기,8704,-378,-4.2,10005,1301,14.9,13750,3745,37.4,13496,-254,-1.8,18177,4681,34.7
의류 및 패션 관련 상품,1408177,325901,30.1,1559960,151783,10.8,1984487,424527,27.2,2154317,169830,8.6,3090517,936200,43.5
스포츠·레저용품,64603,11445,21.5,91554,26951,41.7,149360,57806,63.1,155859,6499,4.4,258012,102153,65.5
화장품,193551,27941,16.9,206982,13431,6.9,246686,39704,19.2,250730,4044,1.6,322861,72131,28.8
아동·유아용품,64278,663,1.0,66208,1930,3.0,97043,30835,46.6,91001,-6042,-6.2,93868,2867,3.2
음·식료품,911158,242794,36.3,1102220,191062,21.0,1323089,220869,20.0,1420353,97264,7.4,1501711,81358,5.7
농축수산물,4953,-1452,-22.7,11030,6077,122.7,22966,11936,108.2,13698,-9268,-40.4,10988,-2710,-19.8
생활·자동차용품,184464,19886,12.1,246598,62134,33.7,334794,88196,35.8,308569,-26225,-7.8,419220,110651,35.9
기 타,231450,22327,10.7,321408,89958,38.9,423463,102055,31.8,448934,25471,6.0,372977,-75957,-16.9
